@relation sms_test

@attribute class {3,2,1}
@attribute text String

@data
1,'»ѕн «” Ё”— янЁ ггяд «ЁЏб ќѕг…  ж√г ћж«бн ж «ѕн‘ » ябЁ »«б‘е—'
1,'»ѕн  »Џ жбн «Џѕ«ѕ«  «бќѕг«  Џ‘«д √ѕ— «‘»я «д —д '
1,'янЁ »√ѕ— «џн— «б«џдн…  »Џ  ќѕг… —дбн'
1,'«д« »” ќѕг ‘—нЌ… б‘—я… гд »—« «б»бѕ »ёѕ— «ЁЏб «б ћж«б Џбм ‘»я… ћж«б'
1,'янЁ »√ѕ— «жЁ— —’нѕ бг« «яжд гЁЏб ќѕг… «б ћж«б'
1,'Ён »—нѕ ’ж н »«б ћж«б'
1,'янЁ »—”б ж »” ё»б гя«бг«  ж «д« »«б ћж«б'
1,'«б ћж«б »яжд бг‘ —ян «бЁ« ж—… ж «бѕЁЏ «бг”»ё дЁ” «б«‘н'
1,'»ѕн «‘ —я »ќѕг… «б«ќ»«— «бЏ«ћб… » ∆ѕ—  Ќянбн янЁ'
1,'Ён Џдѕяг ќѕг«   —Ёнен…'
1,'янЁ »ЁЏб ќѕг… «—ћЏбн'
1,'Ён ќѕг… гЏнд… б«“г «‘ —я Ёне« Џ‘«д √ѕ— «»Џ  —”«∆б ’ж н…'
1,'янЁ »√ѕ— «ћн» «Џѕ«ѕ«  «б«д —д '
1,'янЁ »√ѕ— « ’б бг« «ЁЏб «б ћж«б'
1,'»‘ж » Ё—∆ гя«бг… «б ћж«б Џд «бгя«бг… «бѕжбн…'
1,'янЁ »√ѕ— «‘џб «б»—нѕ «б’ж н бг« «яжд гЁЏб «б ћж«б'
1,'«б ћж«б »‘ џб Џдў«г «бЁ« ж—… ж «бя— '
1,'г« ен ќѕг…  ж√г ћж«бн'
1,'‘ж ен ќѕг…  ж√г ћж«бн'
1,'янЁ »ёѕ— «ЁЏб ќѕг…  ж√г ћж«бн'
1,'г« ен ќѕг… «б«ќ»«— «бЏ«ћб…'
1,'янЁ »ёѕ— «‘ —я »ќѕг… «б«ќ»«—'
1,'‘ж ен ќѕг… «б«ќ»«— «бЏ«ћб…'
1,'янЁ нгяд «б«‘ —«я »«бќѕг«  «б —Ёнен…'
1,'‘ж Ён ќѕг«   —Ёнен… ж г”бн… Џдѕяг'
1,'янЁ нгяд «” ќѕ«г ќѕг… «—ћЏбн'
1,'‘ж ен ќѕг… «—ћЏбн ‘ж Ё«нѕ е«'
1,'г« ен ќѕг… «б—”«∆б «б’ж н…'
1,'‘ж ен ќѕг… «б—”«∆б «б’ж н…'
1,'‘ж нЏдн «б—”«∆б «б’ж н…'
1,'янЁ нгядд« «бЌ’жб Џбм «Џѕ«ѕ«  «бќѕг« '
1,'янЁ «“»Ў «б«Џѕ«ѕ«  Џбм ће«“н ж «ќ– яб «бќѕг« '
1,'янЁ «ћн» «б«Џѕ«ѕ«  «бќ«’… »«бќѕг« '
1,'г« ен ќѕг… «б—”«∆б г Џѕѕ… «бж”«∆Ў'
1,'‘ж нЏдн ќѕг… «б—”«∆б г Џѕѕ… «бж”«∆Ў'
1,'янЁ »‘ —я »ќѕг… «б—”«∆б г Џѕѕ… «бж”«∆Ў'
1,'янЁ нгяд «б«‘ —«я »ќѕг… «бгя«бг«  «бЁ«∆ '
1,'бж ж«Ќѕ —д Џбн ж г« яд  гжћжѕ янЁ »ёѕ— «ЁЏб дў«г «бгя«бг«  «бЁ«∆ …'
1,'‘ж ен ќѕг… «бгя«бг«  «бЁ«∆ …'
1,'янЁ нгяд «б«‘ —«я »ќѕг… —дбн'
1,'‘ж ен ќѕг… —дбн'
1,'г« ен ќѕг«  «б«” Џб«г Џд «б—’нѕ'
1,'янЁ «ћ—н гя«бг«  «Ћд«Ѕ «б ћж«б'
1,'янЁ —«Ќ «—д Џбм Ќѕ бг« «яжд г‘џб «б ћж«б'
1,'‘ж ен ќЎж«  «б« ’«б «Ћд«Ѕ «б ћж«б'
1,'янЁн…  ЁЏнб «б ћж«б «Ћд«Ѕ “н«— н «бм Ёб”Ўнд'
1,'янЁ «ЁЏб ќѕг… «б ћж«б »ће«“н бг« «”«Ё—'
1,'‘ж б«“г «”жн Џ‘«д «ЁЏб ќѕг… «б ћж«б'
1,'янЁ нгяд «—”«б —”«б… «Ћд«Ѕ «б ћж«б'
1,'еб нћж“ «д «»Џ  —”«∆б бг« «яжд гЁЏб «б ћж«б'
1,'янЁ нгяд «»Џ  —”«∆б «Ћд«Ѕ «б ћж«б'
1,'г« «бЁ—ё »нд гя«бг… «б ћж«б ж «бгя«бг… «бѕжбн…'
1,'‘ж » Ё—ё «бгя«бг… «бѕжбн… Џд гя«бг… «б ћж«б'
1,'янЁ »ёѕ— «гн“ »нд «б ћж«б ж «б« ’«б «бѕжбн'
1,'янЁ нгяд ”г«Џ «б»—нѕ «б’ж н «Ћд«Ѕ «б ћж«б'
1,'Ён »—нѕ ’ж н бг« «яжд гЁЏб «б ћж«б'
1,'янЁ »ёѕ— «”гЏ «бгя«бг«  «б’ж н… «Ћд«Ѕ «б ћж«б'
1,'янЁ «ћ—н гя«бг«  «Ћд«Ѕ «б ћж«б ж янЁ нгяд «б« ’«б »н'
1,'янЁ »ёѕ— « ’б Џбм «бд«” бг« «яжд »—« «б»бѕ ж гЁЏб «б ћж«б'
1,'янЁ ггяд «бд«” н ’бж Џбн бг« «яжд гЁЏб «б ћж«б'
1,'еб «д« »Ќ«ћ… «бм  џн— ћж«бн «Ћд«Ѕ Џгбн… «б ћж«б «бѕжбн'
1,'еб —«Ќ н‘ џб ћж«бн »—« «б»бѕ бг« «ЁЏб «б ћж«б'
1,'еб ќѕг… «б ћж«б г жЁ—… бг‘ —ян «бЁ« ж—… ж «бѕЁЏ «бг”»ё'
1,'еб » ‘ џб ќѕг… «б ћж«б Џбм «бя—  ж «бЁ« ж—…'
1,'Џбм «н дў«г »ёѕ— «ЁЏб «б ћж«б «бѕжбн'
1,'‘ж ен ќѕг…  ж√г ћж«бн'
1,'‘ж ен ќѕг… «б«ќ»«— «бЏ«ћб…'
1,'‘ж Ён ќѕг«   —Ёнен… ж г”бн… Џдѕяг'
1,'‘ж ен ќѕг… «—ћЏбн ‘ж Ё«нѕ е«'
1,'янЁ «ћн» «б«Џѕ«ѕ«  «бќ«’… »«бќѕг« '
1,'‘ж нЏдн ќѕг… «б—”«∆б г Џѕѕ… «бж”«∆Ў'
1,'‘ж ен ќѕг… «бгя«бг«  «бЁ«∆ …'
1,'‘ж ен ќѕг… —дбн'
1,'‘ж ен ќЎж«  «б« ’«б «Ћд«Ѕ «б ћж«б'
1,'‘ж б«“г «”жн Џ‘«д «ЁЏб ќѕг… «б ћж«б'
1,'янЁ нгяд «»Џ  —”«∆б «Ћд«Ѕ «б ћж«б'
1,'янЁ «жЁ— «” еб«я «б—’нѕ бг« «яжд гЁЏб «б ћж«б'
1,'янЁ »ёѕ— «гн“ »нд «б ћж«б ж «б« ’«б «бѕжбн'
1,'Ён »—нѕ ’ж н бг« «яжд гЁЏб «б ћж«б'
1,'янЁ ггяд «бд«” н ’бж Џбн бг« «яжд гЁЏб «б ћж«б'
1,'еб —«Ќ н‘ џб ћж«бн »—« «б»бѕ бг« «ЁЏб «б ћж«б'
