@relation questionCategory
@attribute article string
@attribute Class  {"ќѕг« " , "Ёж« н—", "«ќ—м"}
@data
"»ѕн «” Ё”— янЁ ггяд «ЁЏб ќѕг…  ж√г ћж«бн ж «ѕн‘ » ябЁ »«б‘е—","ќѕг« "
"»ѕн  »Џ жбн «Џѕ«ѕ«  «бќѕг«  Џ‘«д √ѕ— «‘»я «д —д ","ќѕг« "
"янЁ »√ѕ— «џн— «б«џдн…  »Џ  ќѕг… —дбн","ќѕг« "
"«д« »” ќѕг ‘—нЌ… б‘—я… гд »—« «б»бѕ »ёѕ— «ЁЏб «б ћж«б Џбм ‘»я… ћж«б","ќѕг« "
"янЁ »√ѕ— «жЁ— —’нѕ бг« «яжд гЁЏб ќѕг… «б ћж«б","ќѕг« "
"Ён »—нѕ ’ж н »«б ћж«б","ќѕг« "
"янЁ »—”б ж »” ё»б гя«бг«  ж «д« »«б ћж«б","ќѕг« "
"«б ћж«б »яжд бг‘ —ян «бЁ« ж—… ж «бѕЁЏ «бг”»ё дЁ” «б«‘н","ќѕг« "
"»ѕн «‘ —я »ќѕг… «б«ќ»«— «бЏ«ћб… » ∆ѕ—  Ќянбн янЁ","ќѕг« "
"Ён Џдѕяг ќѕг«   —Ёнен…","ќѕг« "
"янЁ »ЁЏб ќѕг… «—ћЏбн","ќѕг« "
"Ён ќѕг… гЏнд… б«“г «‘ —я Ёне« Џ‘«д √ѕ— «»Џ  —”«∆б ’ж н…","ќѕг« "
"янЁ »√ѕ— «ћн» «Џѕ«ѕ«  «б«д —д ","ќѕг« "
"янЁ »√ѕ— « ’б бг« «ЁЏб «б ћж«б","ќѕг« "
"»‘ж » Ё—∆ гя«бг… «б ћж«б Џд «бгя«бг… «бѕжбн…","ќѕг« "
"янЁ »√ѕ— «‘џб «б»—нѕ «б’ж н бг« «яжд гЁЏб «б ћж«б","ќѕг« "
"«б ћж«б »‘ џб Џдў«г «бЁ« ж—… ж «бя— ","ќѕг« "
"г« ен ќѕг…  ж√г ћж«бн","ќѕг« "
"‘ж ен ќѕг…  ж√г ћж«бн","ќѕг« "
"янЁ »ёѕ— «ЁЏб ќѕг…  ж√г ћж«бн","ќѕг« "
"г« ен ќѕг… «б«ќ»«— «бЏ«ћб…","ќѕг« "
"янЁ »ёѕ— «‘ —я »ќѕг… «б«ќ»«—","ќѕг« "
"‘ж ен ќѕг… «б«ќ»«— «бЏ«ћб…","ќѕг« "
"янЁ нгяд «б«‘ —«я »«бќѕг«  «б —Ёнен…","ќѕг« "
"‘ж Ён ќѕг«   —Ёнен… ж г”бн… Џдѕяг","ќѕг« "
"янЁ нгяд «” ќѕ«г ќѕг… «—ћЏбн","ќѕг« "
"‘ж ен ќѕг… «—ћЏбн ‘ж Ё«нѕ е«","ќѕг« "
"г« ен ќѕг… «б—”«∆б «б’ж н…","ќѕг« "
"‘ж ен ќѕг… «б—”«∆б «б’ж н…","ќѕг« "
"‘ж нЏдн «б—”«∆б «б’ж н…","ќѕг« "
"янЁ нгядд« «бЌ’жб Џбм «Џѕ«ѕ«  «бќѕг« ","ќѕг« "
"янЁ «“»Ў «б«Џѕ«ѕ«  Џбм ће«“н ж «ќ– яб «бќѕг« ","ќѕг« "
"янЁ «ћн» «б«Џѕ«ѕ«  «бќ«’… »«бќѕг« ","ќѕг« "
"г« ен ќѕг… «б—”«∆б г Џѕѕ… «бж”«∆Ў","ќѕг« "
"‘ж нЏдн ќѕг… «б—”«∆б г Џѕѕ… «бж”«∆Ў","ќѕг« "
"янЁ »‘ —я »ќѕг… «б—”«∆б г Џѕѕ… «бж”«∆Ў","ќѕг« "
"янЁ нгяд «б«‘ —«я »ќѕг… «бгя«бг«  «бЁ«∆ ","ќѕг« "
"бж ж«Ќѕ —д Џбн ж г« яд  гжћжѕ янЁ »ёѕ— «ЁЏб дў«г «бгя«бг«  «бЁ«∆ …","ќѕг« "
"‘ж ен ќѕг… «бгя«бг«  «бЁ«∆ …","ќѕг« "
"янЁ нгяд «б«‘ —«я »ќѕг… —дбн","ќѕг« "
"‘ж ен ќѕг… —дбн","ќѕг« "
"г« ен ќѕг«  «б«” Џб«г Џд «б—’нѕ","ќѕг« "
"янЁ «ћ—н гя«бг«  «Ћд«Ѕ «б ћж«б","ќѕг« "
"янЁ —«Ќ «—д Џбм Ќѕ бг« «яжд г‘џб «б ћж«б","ќѕг« "
"‘ж ен ќЎж«  «б« ’«б «Ћд«Ѕ «б ћж«б","ќѕг« "
"янЁн…  ЁЏнб «б ћж«б «Ћд«Ѕ “н«— н «бм Ёб”Ўнд","ќѕг« "
"янЁ «ЁЏб ќѕг… «б ћж«б »ће«“н бг« «”«Ё—","ќѕг« "
"‘ж б«“г «”жн Џ‘«д «ЁЏб ќѕг… «б ћж«б","ќѕг« "
"янЁ нгяд «—”«б —”«б… «Ћд«Ѕ «б ћж«б","ќѕг« "
"еб нћж“ «д «»Џ  —”«∆б бг« «яжд гЁЏб «б ћж«б","ќѕг« "
"янЁ нгяд «»Џ  —”«∆б «Ћд«Ѕ «б ћж«б","ќѕг« "
"г« «бЁ—ё »нд гя«бг… «б ћж«б ж «бгя«бг… «бѕжбн…","ќѕг« "
"‘ж » Ё—ё «бгя«бг… «бѕжбн… Џд гя«бг… «б ћж«б","ќѕг« "
"янЁ »ёѕ— «гн“ »нд «б ћж«б ж «б« ’«б «бѕжбн","ќѕг« "
"янЁ нгяд ”г«Џ «б»—нѕ «б’ж н «Ћд«Ѕ «б ћж«б","ќѕг« "
"Ён »—нѕ ’ж н бг« «яжд гЁЏб «б ћж«б","ќѕг« "
"янЁ »ёѕ— «”гЏ «бгя«бг«  «б’ж н… «Ћд«Ѕ «б ћж«б","ќѕг« "
"янЁ «ћ—н гя«бг«  «Ћд«Ѕ «б ћж«б ж янЁ нгяд «б« ’«б »н","ќѕг« "
"янЁ »ёѕ— « ’б Џбм «бд«” бг« «яжд »—« «б»бѕ ж гЁЏб «б ћж«б","ќѕг« "
"янЁ ггяд «бд«” н ’бж Џбн бг« «яжд гЁЏб «б ћж«б","ќѕг« "
"еб «д« »Ќ«ћ… «бм  џн— ћж«бн «Ћд«Ѕ Џгбн… «б ћж«б «бѕжбн","ќѕг« "
"еб —«Ќ н‘ џб ћж«бн »—« «б»бѕ бг« «ЁЏб «б ћж«б","ќѕг« "
"еб ќѕг… «б ћж«б г жЁ—… бг‘ —ян «бЁ« ж—… ж «бѕЁЏ «бг”»ё","ќѕг« "
"еб » ‘ џб ќѕг… «б ћж«б Џбм «бя—  ж «бЁ« ж—…","ќѕг« "
"Џбм «н дў«г »ёѕ— «ЁЏб «б ћж«б «бѕжбн","ќѕг« "
"‘ж ен ќѕг…  ж√г ћж«бн","ќѕг« "
"‘ж ен ќѕг… «б«ќ»«— «бЏ«ћб…","ќѕг« "
"‘ж Ён ќѕг«   —Ёнен… ж г”бн… Џдѕяг","ќѕг« "
"‘ж ен ќѕг… «—ћЏбн ‘ж Ё«нѕ е«","ќѕг« "
"янЁ «ћн» «б«Џѕ«ѕ«  «бќ«’… »«бќѕг« ","ќѕг« "
"‘ж нЏдн ќѕг… «б—”«∆б г Џѕѕ… «бж”«∆Ў","ќѕг« "
"‘ж ен ќѕг… «бгя«бг«  «бЁ«∆ …","ќѕг« "
"‘ж ен ќѕг… —дбн","ќѕг« "
"‘ж ен ќЎж«  «б« ’«б «Ћд«Ѕ «б ћж«б","ќѕг« "
"‘ж б«“г «”жн Џ‘«д «ЁЏб ќѕг… «б ћж«б","ќѕг« "
"янЁ нгяд «»Џ  —”«∆б «Ћд«Ѕ «б ћж«б","ќѕг« "
"янЁ «жЁ— «” еб«я «б—’нѕ бг« «яжд гЁЏб «б ћж«б","ќѕг« "
"янЁ »ёѕ— «гн“ »нд «б ћж«б ж «б« ’«б «бѕжбн","ќѕг« "
"Ён »—нѕ ’ж н бг« «яжд гЁЏб «б ћж«б","ќѕг« "
"янЁ ггяд «бд«” н ’бж Џбн бг« «яжд гЁЏб «б ћж«б","ќѕг« "
